date,open,high,low,close,volume
05/11/2020,77.02999877929688,79.26000213623047,76.80999755859375,78.75,145946240
05/12/2020,79.45999908447266,79.91999816894531,77.7300033569336,77.8499984741211,162301056
05/13/2020,78.04000091552734,78.98999786376953,75.80000305175781,76.91000366210938,200622560
05/14/2020,76.12999725341797,77.44999694824219,75.37999725341797,77.38999938964844,158929072
05/15/2020,75.08999633789062,76.97000122070312,75.05000305175781,76.93000030517578,166348384
05/18/2020,78.29000091552734,79.12000274658203,77.58000183105469,78.73999786376953,135372496
05/19/2020,78.76000213623047,79.62999725341797,78.25,78.27999877929688,101729536
05/20/2020,79.16999816894531,79.87999725341797,79.05000305175781,79.80999755859375,111504864
05/21/2020,79.66999816894531,80.22000122070312,78.97000122070312,79.20999908447266,102688848
05/22/2020,78.94000244140625,79.80999755859375,78.83999633789062,79.72000122070312,81803016
05/26/2020,80.87999725341797,81.05999755859375,79.12000274658203,79.18000030517578,125521816
05/27/2020,79.02999877929688,79.68000030517578,78.2699966430664,79.52999877929688,112945096
05/28/2020,79.19000244140625,80.86000061035156,78.91000366210938,79.55999755859375,133796416
05/29/2020,79.80999755859375,80.29000091552734,79.12000274658203,79.4800033569336,153598128
06/01/2020,79.44000244140625,80.58999633789062,79.30000305175781,80.45999908447266,81018608
06/02/2020,80.19000244140625,80.86000061035156,79.7300033569336,80.83000183105469,87642816
06/03/2020,81.16999816894531,81.55000305175781,80.58000183105469,81.27999877929688,104491216
06/04/2020,81.0999984741211,81.41000366210938,80.19000244140625,80.58000183105469,87560368
06/05/2020,80.83999633789062,82.94000244140625,80.80999755859375,82.87999725341797,137250208
06/08/2020,82.55999755859375,83.4000015258789,81.83000183105469,83.36000061035156,95654536
06/09/2020,83.02999877929688,86.4000015258789,83.0,86.0,147712368
06/10/2020,86.97000122070312,88.69000244140625,86.5199966430664,88.20999908447266,166651744
06/11/2020,87.33000183105469,87.7699966430664,83.87000274658203,83.97000122070312,201662448
06/12/2020,86.18000030517578,86.94999694824219,83.55999755859375,84.69999694824219,200146048
